variant,metric,age,gender,income,pre_metric,post_metric
A,0.4153206281931595,26-35,Female,High,0.469329866822953,0.4428136896339669
B,0.34851527753141354,46+,Male,Medium,0.4848765156755936,0.5054279852888262
A,0.4553485047932979,46+,Female,High,0.4805911590729386,0.49833850046777695
A,0.5856398794323472,26-35,Female,Medium,0.5085208111187743,0.489594157136373
A,0.5214093744130204,36-45,Female,Medium,0.5080286990524933,0.49357312442805346
B,0.3754261221288012,46+,Female,Medium,0.5001523010076707,0.40590754772511806
A,0.5173180925851182,46+,Male,Low,0.5218469084873175,0.4725637546129519
A,0.5385317379728837,46+,Male,Medium,0.5595323137393171,0.5046422450570557
A,0.4116142563798867,18-25,Male,Medium,0.5474777067720662,0.50799281959987
B,0.5153725105945528,26-35,Male,Low,0.42575510157750485,0.44861624295370206
A,0.5058208718446,18-25,Female,Low,0.37230394325490224,0.563285392043235
A,0.38570297021693767,26-35,Female,Low,0.5467159955619637,0.456691257589275
A,0.5357787360348283,36-45,Male,High,0.43165606507922893,0.5484728600263369
A,0.5560784526368234,36-45,Female,Low,0.4887617299053658,0.5213597180935843
B,0.6083051243175277,46+,Female,Low,0.441494348697032,0.46768863450780984
A,0.6053802052034903,26-35,Female,Medium,0.409900978120999,0.5887655446304756
B,0.3622330632042909,36-45,Male,Low,0.5270731364102395,0.440318158412176
B,0.4062174960084877,26-35,Male,High,0.5379577580151323,0.5459577086805001
B,0.551503526720866,36-45,Male,Low,0.471174479963664,0.5500291159021489
A,0.5513785950912209,18-25,Female,High,0.37044788539275453,0.4664689895461678
B,0.5515047686306048,36-45,Male,Low,0.47268777758737585,0.5696232650032165
A,0.8852731490654722,18-25,Male,Low,0.5195902002701274,0.48749767427005236
B,0.5570890510693167,36-45,Male,Low,0.4260544215612936,0.5144346814639928
B,0.6135565640180599,46+,Male,Low,0.5091679959889578,0.513016091938561
B,0.5954001763493202,18-25,Male,High,0.49923450754135024,0.4932845629264726
B,0.5651391251305798,36-45,Male,High,0.5289645749800544,0.5405404136579891
B,0.46847307553596546,46+,Female,Medium,0.5059790184207077,0.5396744360276107
B,0.5758969220493267,18-25,Female,High,0.45134655295592224,0.41257340133809095
B,0.4227174785462428,46+,Male,Low,0.5598285750832246,0.5652170121439076
B,0.4763181393259991,26-35,Male,Medium,0.4920735213486515,0.41687540059821626
A,0.45146364521708965,26-35,Female,Medium,0.49863477302450343,0.5516273102170829
A,0.5081874139386322,18-25,Female,Medium,0.4533366020463402,0.5563352568413792
B,0.7314658566673509,36-45,Male,Low,0.4778358874404245,0.44545167848924005
B,0.31327348074082517,18-25,Male,High,0.45575986429865495,0.47945928560227075
B,0.5686260190374514,46+,Male,Low,0.49135269700382883,0.4447147665757032
A,0.33872841288103483,36-45,Male,Medium,0.5855854240071172,0.48925394848556325
B,0.45280681342105666,26-35,Female,Low,0.43140494285343217,0.48459828579071296
A,0.6088950596967366,36-45,Male,Low,0.4193219301061629,0.538983026613467
A,0.5064280019095463,26-35,Male,High,0.5735585163746805,0.5655154373059804
A,0.3922255222070694,36-45,Male,High,0.4895338161424067,0.5697841905394978
A,0.42846962907400316,36-45,Male,Medium,0.46654636306700414,0.4718915986710849
A,0.5679597748934676,36-45,Female,Low,0.5519952343698038,0.48953890631277364
B,0.42696333682828636,46+,Female,Low,0.4697192230131568,0.41582809038895246
B,0.5216458589581975,46+,Female,High,0.5913004856773468,0.4597064966751906
B,0.5045571839903814,18-25,Male,Low,0.5338962935669634,0.5482425816548728
B,0.43483996523941826,18-25,Male,Low,0.4756044295927149,0.5807791411774116
B,0.7143944089325326,26-35,Female,Low,0.6078654106632752,0.4382825564060039
A,0.5633919022318011,46+,Male,High,0.46971425384983306,0.4703767870423553
